nbhd_id,district,neighborhood,registered,voted,valid,yes,nop,turnout,valid_p,yes_p,nop_p,yes_r,nop_r,yes_no
101,ADALAR,BURGAZADA MAH.,1257,1055,1036,174,862,83.93,98.20,16.80,83.20,13.84,68.58,0.20
102,ADALAR,HEYBELIADA MAH.,2960,2590,2547,693,1854,87.50,98.34,27.21,72.79,23.41,62.64,0.37
103,ADALAR,KINALIADA MAH.,1648,1330,1315,347,968,80.70,98.87,26.39,73.61,21.06,58.74,0.36
104,ADALAR,MADEN MAH.,3522,3079,3050,865,2185,87.42,99.06,28.36,71.64,24.56,62.04,0.40
105,ADALAR,NIZAM MAH.,2509,2123,2100,567,1533,84.62,98.92,27.00,73.00,22.60,61.10,0.37
201,ARNAVUTKOY,ADNAN MENDERES MAH.,2555,2177,2136,1382,754,85.21,98.12,64.70,35.30,54.09,29.51,1.83
202,ARNAVUTKOY,ANADOLU MAH.,19234,16677,16360,11626,4734,86.71,98.10,71.06,28.94,60.45,24.61,2.46
203,ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,11812,10349,10138,6895,3243,87.61,97.96,68.01,31.99,58.37,27.46,2.13
204,ARNAVUTKOY,BAKLALI MAH.,645,597,582,344,238,92.56,97.49,59.11,40.89,53.33,36.90,1.45
205,ARNAVUTKOY,BALABAN MAH.,356,310,304,106,198,87.08,98.06,34.87,65.13,29.78,55.62,0.54
206,ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,5850,5112,4985,3398,1587,87.38,97.52,68.16,31.84,58.09,27.13,2.14
207,ARNAVUTKOY,BOLLUCA MAH.,4245,3699,3617,2552,1065,87.14,97.78,70.56,29.44,60.12,25.09,2.40
208,ARNAVUTKOY,BOYALIK MAH.,545,498,492,220,272,91.38,98.80,44.72,55.28,40.37,49.91,0.81
209,ARNAVUTKOY,CILINGIR MAH.,813,728,714,425,289,89.54,98.08,59.52,40.48,52.28,35.55,1.47
210,ARNAVUTKOY,DELIKLIKAYA MAH.,2385,2044,1976,870,1106,85.70,96.67,44.03,55.97,36.48,46.37,0.79
211,ARNAVUTKOY,DURSUNKOY MAH.,369,334,331,180,151,90.51,99.10,54.38,45.62,48.78,40.92,1.19
212,ARNAVUTKOY,DURUSU MAH.,568,525,501,190,311,92.43,95.43,37.92,62.08,33.45,54.75,0.61
213,ARNAVUTKOY,FATIH MAH.,1583,1360,1332,978,354,85.91,97.94,73.42,26.58,61.78,22.36,2.76
214,ARNAVUTKOY,HACIMASLI MAH.,423,400,395,243,152,94.56,98.75,61.52,38.48,57.45,35.93,1.60
215,ARNAVUTKOY,HADIMKOY MAH.,13443,11909,11734,7598,4136,88.59,98.53,64.75,35.25,56.52,30.77,1.84
216,ARNAVUTKOY,HARACCI MAH.,5260,4624,4518,2662,1856,87.91,97.71,58.92,41.08,50.61,35.29,1.43
217,ARNAVUTKOY,HASTANE MAH.,5226,4642,4566,2258,2308,88.83,98.36,49.45,50.55,43.21,44.16,0.98
218,ARNAVUTKOY,HICRET MAH.,1861,1652,1600,1183,417,88.77,96.85,73.94,26.06,63.57,22.41,2.84
219,ARNAVUTKOY,IMRAHOR MAH.,6077,5269,5122,3373,1749,86.70,97.21,65.85,34.15,55.50,28.78,1.93
220,ARNAVUTKOY,ISLAMBEY MAH.,11303,9872,9680,6918,2762,87.34,98.06,71.47,28.53,61.20,24.44,2.50
221,ARNAVUTKOY,KARABURUN MAH.,1202,1052,1021,604,417,87.52,97.05,59.16,40.84,50.25,34.69,1.45
222,ARNAVUTKOY,KARLIBAYIR MAH.,5271,4736,4644,3496,1148,89.85,98.06,75.28,24.72,66.33,21.78,3.05
223,ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,2894,2628,2566,1942,624,90.81,97.64,75.68,24.32,67.10,21.56,3.11
224,ARNAVUTKOY,MAVIGOL MAH.,4118,3702,3623,2338,1285,89.90,97.87,64.53,35.47,56.78,31.20,1.82
225,ARNAVUTKOY,MEHMET AKIF ERSOY MAH.,4075,3632,3559,2610,949,89.13,97.99,73.34,26.66,64.05,23.29,2.75
226,ARNAVUTKOY,MERKEZ ATATURK MAH.,4511,4049,3951,2567,1384,89.76,97.58,64.97,35.03,56.91,30.68,1.85
227,ARNAVUTKOY,MUSTAFA KEMAL PASA MAH.,7738,6789,6630,4762,1868,87.74,97.66,71.83,28.17,61.54,24.14,2.55
228,ARNAVUTKOY,NENEHATUN MAH.,5238,4633,4551,3347,1204,88.45,98.23,73.54,26.46,63.90,22.99,2.78
229,ARNAVUTKOY,OMERLI MAH.,4013,3486,3412,1970,1442,86.87,97.88,57.74,42.26,49.09,35.93,1.37
230,ARNAVUTKOY,SAZLIBOSNA MAH.,913,835,824,427,397,91.46,98.68,51.82,48.18,46.77,43.48,1.08
231,ARNAVUTKOY,TASOLUK MAH.,3730,3265,3209,2400,809,87.53,98.28,74.79,25.21,64.34,21.69,2.97
